game_date,at_bats,hits,home_runs,walks,strikeouts,stolen_bases,batting_avg_game,cum_hits,cum_at_bats,cum_avg,cum_home_runs,cum_stolen_bases,rolling_avg_7g,rolling_avg_30g,month
2026-03-26,5,2,0,0,2,0,0.4,2,5,0.4,0,0,,,March
2026-03-28,4,2,0,1,1,0,0.5,4,9,0.444,0,0,,,March
2026-03-29,4,0,0,0,0,0,0.0,4,13,0.308,0,0,,,March
2026-03-30,3,1,0,1,1,0,0.333,5,16,0.312,0,0,,,March
2026-03-31,3,0,0,0,2,0,0.0,5,19,0.263,0,0,,,March
2026-04-01,4,1,0,0,2,0,0.25,6,23,0.261,0,0,,,April
2026-04-03,3,1,0,0,0,0,0.333,7,26,0.269,0,0,0.269,,April
2026-04-05,8,1,0,0,2,0,0.125,8,34,0.235,0,0,0.207,,April
2026-04-06,4,0,0,0,2,0,0.0,8,38,0.211,0,0,0.138,,April
2026-04-07,5,3,1,0,0,0,0.6,11,43,0.256,1,0,0.233,,April
2026-04-08,4,0,0,0,1,0,0.0,11,47,0.234,1,0,0.194,,April
2026-04-10,4,0,0,0,1,0,0.0,11,51,0.216,1,0,0.188,,April
2026-04-11,5,1,0,0,3,0,0.2,12,56,0.214,1,0,0.182,,April
2026-04-12,4,0,0,0,2,0,0.0,12,60,0.2,1,0,0.147,,April
2026-04-13,5,1,0,0,2,0,0.2,13,65,0.2,1,0,0.161,,April
2026-04-14,4,2,0,0,1,0,0.5,15,69,0.217,1,0,0.226,,April
2026-04-15,4,2,0,0,1,0,0.5,17,73,0.233,1,0,0.2,,April
2026-04-17,3,0,0,1,1,0,0.0,17,76,0.224,1,0,0.207,,April
2026-04-18,3,0,0,0,0,0,0.0,17,79,0.215,1,0,0.214,,April
2026-04-19,3,1,0,0,1,0,0.333,18,82,0.22,1,0,0.231,,April
2026-04-20,3,0,0,1,0,0,0.0,18,85,0.212,1,0,0.24,,April
2026-04-21,5,2,0,0,1,0,0.4,20,90,0.222,1,0,0.28,,April
2026-04-22,4,3,0,0,1,0,0.75,23,94,0.245,1,0,0.32,,April
2026-04-23,2,0,0,0,2,0,0.0,23,96,0.24,1,0,0.261,,April
2026-04-24,3,1,0,1,1,0,0.333,24,99,0.242,1,0,0.304,,April
2026-04-25,4,0,0,0,4,0,0.0,24,103,0.233,1,0,0.292,,April
2026-04-26,3,1,0,1,0,0,0.333,25,106,0.236,1,0,0.292,,April
2026-04-27,3,1,0,1,1,0,0.333,26,109,0.239,1,0,0.333,,April
2026-04-28,4,1,1,1,2,0,0.25,27,113,0.239,2,0,0.304,,April
2026-04-29,4,1,1,0,1,0,0.25,28,117,0.239,3,0,0.217,0.239,April
2026-05-01,4,1,0,0,0,0,0.25,29,121,0.24,3,0,0.24,0.233,May
2026-05-02,3,0,0,1,1,0,0.0,29,124,0.234,3,0,0.2,0.217,May
2026-05-03,4,1,0,0,0,0,0.25,30,128,0.234,3,0,0.24,0.226,May
2026-05-04,4,1,0,0,1,0,0.25,31,132,0.235,3,0,0.231,0.224,May
