pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,is_hit,is_home_run,is_walk,is_strikeout,is_stolen_base,at_bat,home_away
KC,2026-03-26,85.6,-2.94,6.06,"Crow-Armstrong, Pete",691718,676917,single,hit_into_play,,,,,13.0,"Pete Crow-Armstrong singles on a ground ball to right fielder Joey Wiemer. Michael Busch scores. Alex Bregman out at 3rd on the throw, right fielder Joey Wiemer to catcher Keibert Ruiz to third baseman Brady House.",R,L,R,CHC,WSH,X,9.0,ground_ball,0,0,2026,0.77,-0.93,-0.0807148015822518,1.3379908523122892,,683737.0,608324.0,2,3,Bot,177.15,114.18,,,,,5.097174922156716,-124.57535515094004,-2.7014371645121527,6.914058045303568,25.5282735673328,-41.48906484558605,3.202452428,1.616190945,9.0,100.2,-10.0,85.5,2344.0,6.3,824704,660688,665953,683083,691781,682928,695578,696285,686894,54.22,0.298,0.283,0.9,1.0,1.0,0.0,2.0,23,1,Knuckle Curve,1,1,1,1,1,2,2,1,Standard,Standard,33.0,0.074,0.55,76.2,7.3,,0.334,-0.55,100.2,0,0,0.549,0.549,27,24,28,24,2,1,,,6.0,2,4.04,-0.77,0.77,38.8,15.093849096417948,9.882282342160092,42.07371559082533,37.48477788329777,33.30877625764202,1,0,0,0,0,1,home
FF,2026-03-26,93.6,-2.91,5.43,"Crow-Armstrong, Pete",691718,695418,single,hit_into_play,,,,,3.0,Pete Crow-Armstrong singles on a bunt ground ball to third baseman Brady House. Michael Busch scores. Alex Bregman to 2nd.,R,L,R,CHC,WSH,X,5.0,ground_ball,2,1,2026,-1.21,0.54,0.417702157398004,2.8455540604660365,683737.0,,608324.0,1,7,Bot,110.79,185.44,,,,,10.989028430984112,-135.87358765969947,-1.8962576204941728,-17.412409429232618,29.23516504690449,-25.308808215628,3.202452428,1.616190945,5.0,41.1,-27.0,92.1,2388.0,5.5,824704,660688,671277,683083,691781,682928,695578,696285,686894,55.01,0.359,0.323,0.9,1.0,1.0,0.0,1.0,61,4,4-Seam Fastball,3,8,3,8,8,4,4,8,Standard,Standard,246.0,0.038,0.029,,,,0.364,-0.029,88.0,-5,-5,0.074,0.074,26,24,26,24,1,3,,,4.0,2,2.07,1.21,-1.21,22.0,,,,,,1,0,0,0,0,1,home
ST,2026-03-26,78.2,2.48,4.16,"Crow-Armstrong, Pete",691718,676571,field_out,hit_into_play,,,,,13.0,Pete Crow-Armstrong pops out to third baseman Brady House in foul territory.,R,L,L,CHC,WSH,X,5.0,popup,1,2,2026,-1.55,0.16,-0.489772904049361,1.4186078935115374,,683737.0,664023.0,1,5,Bot,84.92,178.03,,,,,-3.422923761313216,-113.88454805856648,0.8246468060096914,-12.952813186501537,20.149140385292263,-31.098700657355533,3.202452428,1.616190945,116.0,78.8,61.0,78.6,2459.0,6.4,824704,660688,665953,683083,691781,682928,695578,696285,686894,54.05,0.014,0.015,0.0,1.0,0.0,0.0,3.0,45,4,Sweeper,3,7,3,7,7,3,3,7,Standard,Standard,262.0,-0.031,-0.165,76.7,7.9,,0.02,0.165,88.0,-4,-4,0.149,0.149,29,24,30,24,1,2,,,3.0,2,3.55,-1.55,-1.55,15.7,20.031587032087504,-10.308543670878588,42.115644880504185,38.48030564668311,45.293152711793525,0,0,0,0,0,1,home
ST,2026-03-26,87.0,-3.03,5.94,"Crow-Armstrong, Pete",691718,676917,strikeout,called_strike,,,,,1.0,Pete Crow-Armstrong called out on strikes.,R,L,R,CHC,WSH,S,2.0,,1,2,2026,1.46,-0.8,-0.3052249600630627,2.812940659166847,683737.0,,,2,1,Bot,,,,,,,3.378109582900104,-126.48688211282104,0.7085094680770165,14.588745441589294,31.255776921570614,-41.11150795761875,3.202452428,1.616190945,,,,86.0,2203.0,6.2,824704,660688,665953,683083,691781,682928,695578,696285,686894,54.34,,0.0,0.0,1.0,0.0,0.0,,7,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,41.0,-0.026,-0.233,,,,,0.233,,0,0,0.526,0.526,27,24,28,24,1,0,,,6.0,2,3.87,-1.46,1.46,34.8,,,,,,0,0,0,1,0,1,home
SV,2026-03-26,85.3,1.44,5.47,"Crow-Armstrong, Pete",691718,672335,strikeout,swinging_strike_blocked,,,,,13.0,Pete Crow-Armstrong strikes out swinging.,R,L,L,CHC,WSH,S,2.0,,1,2,2026,-1.03,-0.25,-1.4049823587143973,0.5600055914939301,,,,2,9,Bot,,,,,,,-4.462383326497889,-124.07269981571925,-4.428137251881167,-9.650622683703917,25.85102545842936,-34.064850454942246,3.202452428,1.616190945,,,,84.6,2528.0,5.9,824704,660688,671277,683083,691781,682928,695578,696285,686894,54.56,,0.0,0.0,1.0,0.0,0.0,,80,4,Slurve,4,10,4,10,10,4,4,10,Infield shade,Standard,312.0,-0.001,-0.18,44.7,8.0,12.458859852,,0.18,,-6,-6,0.001,0.001,30,24,30,24,1,4,,,3.0,2,3.4,-1.03,-1.03,38.1,22.932554327903727,-13.257806640151976,37.510088473152514,51.695876239215906,49.36311451437877,0,0,0,1,0,1,home
FF,2026-03-28,92.2,-1.25,6.68,"Crow-Armstrong, Pete",691718,571945,single,hit_into_play,,,,,9.0,Pete Crow-Armstrong singles on a ground ball to right fielder James Wood.,R,L,R,CHC,WSH,X,9.0,ground_ball,0,1,2026,-0.84,1.5,0.3899897527592294,1.8781369691042995,,,,1,3,Bot,192.85,115.2,,,,,5.94916874612839,-133.8159190016572,-9.350309448565252,-11.379231977092406,31.23888804884687,-12.205941617487971,3.202452428,1.616190945,94.0,111.5,4.0,91.7,2134.0,6.3,824701,686452,671277,678391,691781,683083,695734,696285,695578,54.16,0.691,0.661,0.9,1.0,1.0,0.0,4.0,22,2,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Strategic,212.0,0.01,0.46,78.6,7.3,,0.802,-0.46,111.5,4,4,0.885,0.885,37,24,38,24,2,1,,2.0,6.0,1,1.21,0.84,-0.84,45.1,10.975968835473198,-3.2076146278003996,40.92049487650132,30.574642178633013,36.73457104986366,1,0,0,0,0,1,home
FF,2026-03-28,93.4,-1.19,6.64,"Crow-Armstrong, Pete",691718,571945,walk,ball,,,,,1.0,Pete Crow-Armstrong walks.,R,L,R,CHC,WSH,B,,,3,2,2026,-0.59,1.39,-0.7924802916642772,2.9521417624827593,,,,1,5,Bot,,,,,,,2.3117063448391852,-135.9168363554229,-6.6048299047942365,-7.763568010134055,30.72689091957286,-13.697007497979136,3.202452428,1.616190945,,,,93.0,2216.0,6.1,824701,686452,671277,678391,691781,683083,695734,696285,695578,54.37,,0.698334,0.7,1.0,0.0,0.0,,39,6,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shade,Standard,212.0,0.008,0.339,,,,,-0.339,,3,3,0.877,0.877,37,24,38,24,3,2,,2.0,6.0,1,1.23,0.59,-0.59,46.0,,,,,,0,0,1,0,0,0,home
FF,2026-03-28,93.6,-1.23,6.63,"Crow-Armstrong, Pete",691718,571945,strikeout,swinging_strike,,,,,13.0,Pete Crow-Armstrong strikes out swinging.,R,L,R,CHC,WSH,S,2.0,,2,2,2026,-0.71,1.45,-0.8835352569272504,2.183070540310604,,,,0,2,Bot,,,,,,,2.4771834625971825,-135.96209823940126,-8.698128632521373,-9.36927143503278,32.13947550601156,-12.40122333465105,3.202452428,1.616190945,,,,93.4,2214.0,6.5,824701,686452,671277,678391,691781,683083,695734,696285,695578,54.04,,0.0,0.0,1.0,0.0,0.0,,10,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212.0,-0.02,-0.232,71.3,7.0,0.949207032,,0.232,,0,0,0.548,0.548,37,24,38,24,1,0,,2.0,6.0,1,1.17,0.71,-0.71,46.7,3.4161766104703317,15.80465357986687,35.5101556491155,45.706799952376755,24.10745943800355,0,0,0,1,0,1,home
FF,2026-03-28,94.6,-2.01,5.4,"Crow-Armstrong, Pete",691718,669371,field_out,hit_into_play,,,,,5.0,Pete Crow-Armstrong flies out to center fielder Jacob Young.,R,L,R,CHC,WSH,X,8.0,fly_ball,2,1,2026,-1.21,1.31,0.1192115788645156,2.511900277024105,,,,1,8,Bot,136.1,104.56,,,,,8.280603129176148,-137.29530653340274,-4.514949221905828,-17.290394570737753,36.53275389249424,-14.912397379965482,3.202452428,1.616190945,253.0,102.9,61.0,94.2,2683.0,6.7,824701,686452,671277,678391,691781,683083,695734,696285,695578,53.84,0.009,0.008,0.0,1.0,0.0,0.0,3.0,68,4,4-Seam Fastball,10,2,10,2,2,10,10,2,Infield shade,Standard,228.0,0.0,-0.311,78.9,7.3,,0.011,0.311,102.9,8,8,0.999,0.999,26,24,27,24,1,4,,2.0,2.0,1,1.3,1.21,-1.21,30.6,19.852135113011204,-11.789460339195138,33.52669411019207,34.239300516846356,43.41060885231664,0,0,0,0,0,1,home
FF,2026-03-28,94.1,2.21,5.83,"Crow-Armstrong, Pete",691718,686610,single,hit_into_play,,,,,6.0,Pete Crow-Armstrong singles on a soft bunt ground ball to third baseman Brady House.,R,L,L,CHC,WSH,X,5.0,ground_ball,0,0,2026,0.88,1.58,0.3610042734922394,2.2180502154365582,,,,2,6,Bot,116.65,187.83,,,,,-6.775587458358731,-136.64876513579688,-7.009901898339622,12.525663274153954,32.32801110012215,-11.009244527507054,3.202452428,1.616190945,7.0,39.9,-14.0,94.5,2476.0,6.8,824701,686452,671277,678391,691781,683083,695734,696285,695578,53.7,0.321,0.289,0.9,1.0,1.0,0.0,1.0,51,1,4-Seam Fastball,9,2,9,2,2,9,9,2,Infield shade,Standard,137.0,0.0,0.139,25.2,2.0,,0.335,-0.139,88.0,7,7,0.992,0.992,28,24,28,24,1,3,,2.0,3.0,1,1.02,0.88,0.88,41.0,-9.282530906524952,9.736077645641307,16.66417791080128,34.88238917276673,23.577798847856425,1,0,0,0,0,1,home
