Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,25,7,Maj-NL,Washington,131,565,498,81,133,26,3,29,92,49,3,136,12,0,6,7,26,5,0.267,0.343,0.506,0.849,682928
Wilyer Abreu,27,6,Maj-AL,Boston,135,590,515,76,131,31,4,23,70,62,3,120,3,1,7,9,8,4,0.254,0.334,0.464,0.798,677800
Luisangel Acu\xc3\xb1a,24,11,Maj-AL,Chicago,89,207,194,21,46,4,0,1,12,8,0,40,1,2,2,5,16,6,0.237,0.268,0.273,0.541,682668
Ronald Acu\xc3\xb1a Jr.,28,6,Maj-NL,Atlanta,85,374,320,47,77,13,1,13,36,47,2,87,5,0,2,2,19,8,0.241,0.345,0.409,0.754,660670
Willy Adames,30,14,Maj-NL,San Francisco,120,501,461,62,107,25,1,21,51,37,0,138,2,0,1,3,5,2,0.232,0.291,0.427,0.719,642715
Jo Adell,27,7,Maj-AL,"Cleveland,Los Angeles",134,554,508,56,122,22,1,20,83,26,1,134,16,0,4,14,4,0,0.24,0.296,0.406,0.702,666176
Ozzie Albies,29,6,Maj-NL,Atlanta,138,588,527,74,134,24,0,20,67,41,1,84,7,0,13,4,3,4,0.254,0.31,0.414,0.723,645277
Kevin Alc\xc3\xa1ntara,23,14,Maj-NL,Chicago,24,28,25,6,6,0,0,1,6,2,0,11,0,0,1,1,0,1,0.24,0.286,0.36,0.646,682634
Blaze Alexander,27,6,Maj-AL,Baltimore,85,259,233,32,71,12,2,4,29,17,1,55,4,2,1,5,9,3,0.305,0.361,0.425,0.786,677942
Eliezer Alfonzo,26,34,Maj-NL,Los Angeles,12,27,27,3,5,2,0,0,4,0,0,2,0,0,0,0,0,0,0.185,0.185,0.259,0.444,672613
Nick Allen,27,6,Maj-AL,Houston,78,147,131,22,36,5,0,2,13,9,0,30,1,3,3,3,2,0,0.275,0.319,0.359,0.678,669397
Pete Alonso,31,6,Maj-AL,Baltimore,138,598,518,84,139,24,0,32,91,67,5,145,9,0,4,12,5,1,0.268,0.36,0.5,0.86,624413
Jose Altuve,36,7,Maj-AL,Houston,111,471,428,61,106,18,2,14,41,38,1,96,2,1,2,16,4,3,0.248,0.311,0.397,0.708,514888
Francisco Alvarez,24,6,Maj-NL,New York,97,355,312,29,73,12,0,13,34,36,1,108,4,0,1,16,0,0,0.234,0.32,0.397,0.718,682626
Yordan Alvarez,29,6,Maj-AL,Houston,136,597,489,91,155,28,1,37,94,94,29,103,9,0,5,5,1,0,0.317,0.432,0.605,1.037,670541
Adael Amador,23,18,Maj-NL,Colorado,5,13,10,5,3,1,0,1,6,3,0,5,0,0,0,0,0,0,0.3,0.462,0.7,1.162,691182
Miguel Amaya,27,6,Maj-NL,Chicago,74,223,190,32,44,9,0,5,23,22,0,58,9,1,0,8,0,0,0.232,0.339,0.358,0.697,665804
Miguel Andujar,31,49,Maj-NL,San Diego,74,254,239,24,62,20,2,5,22,11,2,38,4,0,0,12,2,2,0.259,0.303,0.423,0.726,609280
Roman Anthony,22,6,Maj-AL,Boston,32,139,117,14,29,7,2,1,5,21,1,33,1,0,0,1,2,0,0.248,0.367,0.368,0.734,701350
Sam Antonacci,23,6,Maj-AL,Chicago,117,468,402,69,108,20,3,8,40,38,0,74,24,3,1,2,17,6,0.269,0.366,0.393,0.759,803011
Jonathan Aranda,28,6,Maj-AL,Tampa Bay,134,583,506,64,140,21,0,17,79,61,3,134,9,0,7,14,0,1,0.277,0.36,0.419,0.779,666018
Orlando Arcia,31,84,Maj-AL,Minnesota,19,50,48,6,13,1,0,1,2,2,0,8,0,0,0,3,0,1,0.271,0.3,0.354,0.654,606115
Nolan Arenado,35,6,Maj-NL,Arizona,129,504,450,65,107,21,1,21,65,43,2,103,7,0,3,11,4,0,0.238,0.312,0.429,0.741,571448
Gabriel Arias,26,6,"Maj-AL,Maj-NL","Chicago,Cleveland,New York",48,146,138,14,33,3,0,5,13,8,1,60,0,0,0,1,4,0,0.239,0.281,0.37,0.65,672356
Randy Arozarena,31,6,Maj-AL,Seattle,130,561,482,88,132,27,1,21,62,56,0,120,20,0,3,15,20,8,0.274,0.371,0.465,0.835,668227
Luis Arraez,29,6,Maj-NL,"Philadelphia,San Francisco",129,563,516,63,163,28,7,6,55,26,4,24,4,6,11,13,10,0,0.316,0.346,0.432,0.779,650333
Edwin Arroyo,22,6,Maj-NL,Cincinnati,47,151,140,13,32,3,1,0,5,5,0,37,3,2,1,0,1,1,0.229,0.268,0.264,0.533,695490
Jos\xc3\xa9 Az\xc3\xb3car,30,61,Maj-NL,Atlanta,11,18,17,2,6,2,0,0,0,1,0,4,0,0,0,0,1,0,0.353,0.389,0.471,0.859,640492
Harrison Bader,32,100,Maj-NL,San Francisco,29,108,103,10,18,5,0,5,14,4,0,32,0,0,1,3,0,0,0.175,0.204,0.369,0.573,664056
Jihwan Bae,26,23,Maj-NL,Milwaukee,4,4,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0.5,0.667,0.5,1.167,678225
Javier B\xc3\xa1ez,33,7,Maj-AL,Detroit,46,165,157,24,40,10,1,2,14,5,0,31,2,0,1,4,1,2,0.255,0.285,0.369,0.654,595879
Joshua B\xc3\xa1ez,23,7,Maj-NL,St. Louis,16,59,54,7,9,2,0,5,10,3,0,22,1,0,1,0,2,1,0.167,0.22,0.481,0.702,695491
Patrick Bailey,27,9,"Maj-AL,Maj-NL","Cleveland,San Francisco",91,283,253,24,51,7,1,7,30,25,0,70,0,2,3,6,3,0,0.202,0.27,0.32,0.591,672275
Luken Baker,29,145,Maj-NL,Arizona,3,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,663609
Drake Baldwin,25,6,Maj-NL,Atlanta,115,509,452,73,126,14,0,22,68,49,2,109,7,0,1,13,3,1,0.279,0.358,0.456,0.813,686948
