pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-31,94.3,2.89,5.21,"Crow-Armstrong, Pete",691718,690986,field_out,hit_into_play,,,,,6.0,Pete Crow-Armstrong lines out to first baseman Jake Bauers.,R,L,L,CHC,MIL,X,3.0,line_drive,1,1,2026,1.05,1.29,0.3225072652828811,2.154136722435279,,,,0,4,Bot,158.62,162.68,,,,,-8.996210042641968,-136.9525550898522,-4.934563225558004,15.273194467287643,31.075557889455617,-14.99907490606487,3.202452428,1.616190945,174.0,102.1,10.0,94.4,2407.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,53.97,0.834,0.802,0.0,1.0,0.0,0.0,4.0,34,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,127.0,-0.002,-0.247,,,,1.005,0.247,102.1,6,6,0.968,0.968,24,24,25,24,3,2,6.0,1.0,,1,1.29,1.05,1.05,33.7,,,,,
FF,2026-08-31,94.5,2.93,5.17,"Crow-Armstrong, Pete",691718,690986,,ball,,,,,13.0,,R,L,L,CHC,MIL,B,,,0,1,2026,1.12,0.94,-0.350199204212698,0.7846366654728294,,,,0,4,Bot,,,,,,,-10.97983238514226,-136.9354095255757,-7.556705061287284,16.531062502610798,31.55002084490889,-18.80745127063072,3.202452428,1.616190945,,,,94.5,2357.0,6.6,824635,661388,641343,668930,666152,806198,694192,669003,686217,53.9,,,,,,,,34,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,134.0,0.0,0.03,,,,,-0.03,,6,6,0.968,0.968,24,24,25,24,3,2,6.0,1.0,,1,1.65,1.12,1.12,33.6,,,,,
SV,2026-08-31,81.5,3.0,5.07,"Crow-Armstrong, Pete",691718,690986,,foul_tip,,,,,9.0,,R,L,L,CHC,MIL,S,,,0,0,2026,-0.47,-0.23,0.6610496711901688,1.685061788827265,,,,0,4,Bot,,,,,,,-4.289204544144802,-118.5910555469491,-0.2296638903925497,-3.4182365625083047,26.569312336897703,-34.51837867375265,3.202452428,1.616190945,,,,81.2,2047.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.01,,,,,,,,34,1,Slurve,6,0,6,0,0,6,6,0,Standard,Standard,329.0,0.0,-0.042,76.2,7.6,,,0.042,,6,6,0.968,0.968,24,24,25,24,3,2,6.0,1.0,,1,3.71,-0.47,-0.47,28.0,13.87495271662834,-16.286517383604615,36.156656204565856,25.857706469194227,38.900361945074714
FF,2026-08-31,93.9,2.81,5.22,"Crow-Armstrong, Pete",691718,690986,field_out,hit_into_play,,,,,2.0,Pete Crow-Armstrong flies out to left fielder Jackson Chourio.,R,L,L,CHC,MIL,X,7.0,fly_ball,0,0,2026,1.09,1.24,0.0114019204294586,2.810563879515591,,,,1,2,Bot,50.16,115.16,,,,,-9.631517469406797,-136.47549212789565,-3.130972214164914,15.673791576441497,29.483082391501224,-16.18767189289235,3.202452428,1.616190945,280.0,88.9,47.0,94.2,2285.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.0,0.003,0.005,0.0,1.0,0.0,0.0,3.0,17,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,131.0,-0.006,-0.262,75.0,6.8,,0.007,0.262,88.9,4,4,0.869,0.869,24,24,25,24,2,1,6.0,1.0,,1,1.35,1.09,1.09,34.6,0.161775540319232,0.6188449985110989,30.1433599028563,34.20699883430208,29.577827945322504
SI,2026-08-31,96.4,-0.94,5.44,"Crow-Armstrong, Pete",691718,694477,field_out,hit_into_play,,,,,8.0,Pete Crow-Armstrong grounds out to first baseman Jake Bauers.,R,L,R,CHC,MIL,X,3.0,ground_ball,1,0,2026,-1.28,0.55,0.0816673862616197,1.783949560473372,,,,0,5,Bot,159.63,164.7,,,,,5.599206764185518,-140.23749321600295,-5.171658223278586,-18.14975165556945,31.591217018519146,-23.967035017179725,3.202452428,1.616190945,3.0,,-30.0,96.0,2299.0,6.1,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.42,,,0.0,,0.0,0.0,,47,2,Sinker,9,0,9,0,0,9,9,0,Strategic,Standard,217.0,-0.001,-0.303,77.7,7.2,,,0.303,,9,9,0.997,0.997,27,24,28,24,1,3,2.0,1.0,4.0,1,1.91,1.28,-1.28,29.0,5.770244699292244,5.513936009696309,40.51473879681495,34.09196631625254,30.18327194512207
FF,2026-08-31,96.1,-0.84,5.59,"Crow-Armstrong, Pete",691718,694477,,ball,,,,,11.0,,R,L,R,CHC,MIL,B,,,0,0,2026,-0.65,1.26,-0.869265503010811,3.1253582045798813,,,,0,5,Bot,,,,,,,1.419621892481116,-139.91823199482204,-3.616983924803834,-8.888745476601107,32.87136621900917,-15.028856828990554,3.202452428,1.616190945,,,,95.4,2449.0,5.9,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.57,,,,,,,,47,1,4-Seam Fastball,9,0,9,0,0,9,9,0,Strategic,Standard,219.0,0.0,0.043,,,,,-0.043,,9,9,0.997,0.997,27,24,28,24,1,3,2.0,1.0,4.0,1,1.21,0.65,-0.65,32.0,,,,,
KN,2026-08-31,53.9,-3.05,6.53,"Crow-Armstrong, Pete",691718,683734,single,hit_into_play,,,,,11.0,Pete Crow-Armstrong singles on a line drive to right fielder Sal Frelick.,R,L,R,CHC,MIL,X,9.0,line_drive,1,1,2026,0.23,0.84,-1.0983126705856976,2.969560852082032,,,,0,7,Bot,188.96,113.45,,,,,2.484761825752738,-78.08303398488921,4.059218914532612,0.5267596360130529,12.647354073282244,-29.74528150694495,3.202452428,1.616190945,204.0,73.7,22.0,51.9,183.0,5.0,824635,596142,687401,668930,666152,806198,694192,800325,686217,55.45,0.983,0.896,0.9,1.0,1.0,0.0,4.0,65,3,Knuckleball,12,2,12,2,2,12,12,2,Strategic,Standard,61.0,0.0,0.457,66.1,8.2,,1.055,-0.457,88.0,10,10,0.999,0.999,28,24,28,24,1,4,33.0,1.0,,1,7.27,-0.23,0.23,52.5,29.729258372098965,-16.459256152170486,28.783455783616557,46.73594533436684,43.556281776152275
KN,2026-08-31,49.0,-2.93,6.69,"Crow-Armstrong, Pete",691718,683734,,swinging_strike,,,,,11.0,,R,L,R,CHC,MIL,S,,,1,0,2026,1.5,0.23,-0.0311270697962351,4.760285508602426,,,,0,7,Bot,,,,,,,2.0144858483185617,-70.47002376697083,8.531540835790189,4.592793046245328,10.485223149081255,-32.97314413285441,3.202452428,1.616190945,,,,46.6,166.0,4.8,824635,596142,687401,668930,666152,806198,694192,800325,686217,55.66,,,,,,,,65,2,Knuckleball,12,2,12,2,2,12,12,2,Strategic,Standard,128.0,0.0,-0.056,65.3,7.6,0.351719172,,0.056,,10,10,0.999,0.999,28,24,28,24,1,4,33.0,1.0,,1,9.74,-1.5,1.5,52.4,28.034395863217647,-21.64453598944738,26.009833030041513,36.34630896170924,40.03249406261567
KN,2026-08-31,51.7,-3.11,6.7,"Crow-Armstrong, Pete",691718,683734,,ball,,,,,11.0,,R,L,R,CHC,MIL,B,,,0,0,2026,0.82,1.98,-2.680781280351634,4.600030578541405,,,,0,7,Bot,,,,,,,-0.3979469049514142,-74.84022897913242,5.2856359788687355,3.088128776920129,11.180224093571344,-25.92857104766753,3.202452428,1.616190945,,,,49.5,2726.0,4.7,824635,596142,687401,668930,666152,806198,694192,800325,686217,55.84,,,,,,,,65,1,Knuckleball,12,2,12,2,2,12,12,2,Strategic,Standard,162.0,0.0,0.043,,,,,-0.043,,10,10,0.999,0.999,28,24,28,24,1,4,33.0,1.0,,1,6.81,-0.82,0.82,53.1,,,,,
SV,2026-08-31,77.5,2.91,5.15,"Crow-Armstrong, Pete",691718,690986,strikeout,swinging_strike,,,,,14.0,Pete Crow-Armstrong strikes out swinging.,R,L,L,CHC,MIL,S,2.0,,1,2,2026,-0.14,0.1,0.2833124114600757,1.3484992874109514,,,,0,1,Bot,,,,,,,-5.307831959603205,-112.49597044543704,-0.8930900760660617,0.1322607181877978,26.80854463450726,-31.39938105074722,3.202452428,1.616190945,,,,76.9,1840.0,6.7,824635,661388,641343,668930,666152,806198,694192,669003,686217,53.76,,0.0,0.0,1.0,0.0,0.0,,5,4,Slurve,0,0,0,0,0,0,0,0,Strategic,Standard,343.0,-0.015,-0.186,74.8,8.5,1.777105872,,0.186,,0,0,0.541,0.541,24,24,25,24,1,0,6.0,1.0,,1,3.81,-0.14,-0.14,35.3,33.87637488793237,-36.38655396406871,38.58712545901389,28.843267040176848,55.270831745660686
FF,2026-08-31,95.6,2.81,5.27,"Crow-Armstrong, Pete",691718,690986,,ball,,,,,11.0,,R,L,L,CHC,MIL,B,,,0,2,2026,1.0,1.27,-0.1754843971611577,3.610559990789863,,,,0,1,Bot,,,,,,,-10.083470846650954,-138.85550328532125,-1.494890337107984,15.227127459023324,31.106199215610193,-15.586524220549078,3.202452428,1.616190945,,,,95.8,2292.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,53.99,,,,,,,,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,126.0,0.002,0.022,,,,,-0.022,,0,0,0.539,0.539,24,24,25,24,1,0,6.0,1.0,,1,1.23,1.0,1.0,34.0,,,,,
